framework,scenario,run,total_energy_uJ,total_energy_J,total_energy_kWh,core_energy_uJ,core_energy_J,core_energy_kWh,uncore_energy_uJ,uncore_energy_J,uncore_energy_kWh,duration_s,avg_power_W,co2_emissions_g,co2_emissions_kg,samples
angular,simple,1,122359631.0,122.359631,3.398878638888889e-05,110187083.0,110.187083,3.0607523055555554e-05,1270297.0,1.270297,3.528602777777778e-07,18.324214220046997,6.677483112271004,0.02148091299777778,2.1480912997777777e-05,10
angular,simple,2,121430708.0,121.430708,3.373075222222222e-05,108749551.0,108.749551,3.020820861111111e-05,1232012.0,1.232012,3.422255555555556e-07,18.350116729736328,6.617435179756747,0.021317835404444443,2.1317835404444443e-05,10
angular,simple,3,113371386.0,113.371386,3.149205166666667e-05,101548383.0,101.548383,2.8207884166666666e-05,976281.0,0.976281,2.711891666666667e-07,18.274106740951538,6.203935853452102,0.019902976653333335,1.9902976653333334e-05,10
angular,simple,4,114416170.0,114.41617,3.1782269444444446e-05,102315468.0,102.315468,2.8420963333333333e-05,1120823.0,1.120823,3.113397222222222e-07,18.34404158592224,6.23723891292344,0.02008639428888889,2.008639428888889e-05,10
angular,simple,5,113292674.0,113.292674,3.1470187222222224e-05,101262073.0,101.262073,2.812835361111111e-05,1037000.0,1.037,2.8805555555555554e-07,18.288806915283203,6.194645420272111,0.019889158324444448,1.988915832444445e-05,10
angular,medium,1,352925034.0,352.925034,9.803473166666666e-05,315123074.0,315.123074,8.753418722222221e-05,1987760.0,1.98776,5.521555555555556e-07,59.1942720413208,5.962148394250701,0.061957950413333324,6.195795041333332e-05,30
angular,medium,2,356030096.0,356.030096,9.88972488888889e-05,318187895.0,318.187895,8.83855263888889e-05,1902090.0,1.90209,5.283583333333333e-07,59.083818435668945,6.025847777385091,0.06250306129777779,6.250306129777779e-05,30
angular,medium,3,366812363.0,366.812363,0.00010189232305555555,328819208.0,328.819208,9.133866888888888e-05,2150326.0,2.150326,5.973127777777778e-07,59.07199811935425,6.209581098964354,0.0643959481711111,6.439594817111111e-05,30
angular,medium,4,357471222.0,357.471222,9.929756166666668e-05,319443046.0,319.443046,8.873417944444443e-05,2080701.0,2.080701,5.779725e-07,59.05792188644409,6.0528919843698805,0.06275605897333333,6.275605897333333e-05,30
angular,medium,5,373176449.0,373.176449,0.00010366012472222222,334833797.0,334.833797,9.300938805555556e-05,2608164.0,2.608164,7.244899999999999e-07,59.05143404006958,6.319515437115036,0.06551319882444444,6.551319882444444e-05,30
angular,complex,1,677359854.0,677.359854,0.00018815551500000002,612091673.0,612.091673,0.00017002546472222224,3604384.0,3.604384,1.0012177777777779e-06,99.75481367111206,6.790247298072557,0.11891428548,0.00011891428548000001,50
angular,complex,2,636126088.0,636.126088,0.0001767016911111111,573508100.0,573.5081,0.00015930780555555555,2564141.0,2.564141,7.122613888888888e-07,97.97113013267517,6.4929953052347225,0.11167546878222222,0.00011167546878222222,49
angular,complex,3,643790649.0,643.790649,0.00017883073583333333,580718082.0,580.718082,0.00016131057833333333,2470308.0,2.470308,6.861966666666667e-07,98.08659076690674,6.563492970511189,0.11302102504666667,0.00011302102504666667,49
angular,complex,4,642544389.0,642.544389,0.0001784845525,577718079.0,577.718079,0.00016047724416666666,3068462.0,3.068462,8.523505555555556e-07,99.92629909515381,6.430182993049143,0.11280223718,0.00011280223718,50
angular,complex,5,735013224.0,735.013224,0.00020417034000000002,668352342.0,668.352342,0.00018565342833333333,4007264.0,4.007264,1.113128888888889e-06,99.630038022995,7.377425910751495,0.12903565488000002,0.00012903565488000003,50
react,simple,1,136621396.0,136.621396,3.795038777777778e-05,124380419.0,124.380419,3.455011638888889e-05,1298697.0,1.298697,3.6074916666666664e-07,18.286519765853882,7.4711534917163895,0.023984645075555557,2.3984645075555556e-05,10
react,simple,2,131299026.0,131.299026,3.6471951666666665e-05,119148920.0,119.14892,3.309692222222222e-05,1173322.0,1.173322,3.2592277777777774e-07,18.287702560424805,7.1796348155910765,0.023050273453333332,2.3050273453333332e-05,10
react,simple,3,133384873.0,133.384873,3.705135361111111e-05,121210851.0,121.210851,3.3669680833333334e-05,1176829.0,1.176829,3.268969444444444e-07,18.241958141326904,7.311982187801342,0.023416455482222223,2.3416455482222222e-05,10
react,simple,4,135005152.0,135.005152,3.750143111111112e-05,122836563.0,122.836563,3.41212675e-05,1292648.0,1.292648,3.590688888888889e-07,18.289402723312378,7.381605295831625,0.023700904462222228,2.3700904462222227e-05,10
react,simple,5,132117879.0,132.117879,3.669941083333333e-05,119830040.0,119.83004,3.3286122222222224e-05,1251281.0,1.251281,3.475780555555556e-07,18.286559343338013,7.224862617369951,0.023194027646666667,2.3194027646666666e-05,10
react,medium,1,823236302.0,823.236302,0.00022867675055555556,784215439.0,784.215439,0.00021783762194444443,2424320.0,2.42432,6.734222222222222e-07,59.06690001487732,13.937354115293836,0.14452370635111111,0.00014452370635111112,30
react,medium,2,816443639.0,816.443639,0.0002267898997222222,777417440.0,777.41744,0.00021594928888888891,2131841.0,2.131841,5.921780555555556e-07,59.06900668144226,13.821861664325269,0.14333121662444442,0.00014333121662444442,30
react,medium,3,801980506.0,801.980506,0.00022277236277777778,763537234.0,763.537234,0.0002120936761111111,1857245.0,1.857245,5.159013888888889e-07,59.03231382369995,13.585449291300277,0.14079213327555556,0.00014079213327555557,30
react,medium,4,809248873.0,809.248873,0.0002247913536111111,770923275.0,770.923275,0.00021414535416666667,1780900.0,1.7809,4.946944444444444e-07,59.049246311187744,13.704643556926753,0.14206813548222222,0.00014206813548222222,30
