framework,scenario,total_energy_J_mean,total_energy_J_std,total_energy_J_min,total_energy_J_max,total_energy_J_median,core_energy_J_mean,core_energy_J_std,uncore_energy_J_mean,uncore_energy_J_std,avg_power_W_mean,avg_power_W_std,duration_s_mean,duration_s_std,energy_cv,core_ratio
angular,complex,666.9668,41.3009,636.1261,735.0132,643.7906,602.4777,39.8675,3.1429,0.662,6.7309,0.3862,99.0738,0.9605,6.19,99.48
angular,medium,361.283,8.4262,352.925,373.1764,357.4712,323.2814,8.2365,2.1458,0.275,6.114,0.1466,59.0919,0.0586,2.33,99.34
angular,simple,116.9741,4.5261,113.2927,122.3596,114.4162,104.8125,4.2977,1.1273,0.1249,6.3861,0.24,18.3163,0.0336,3.87,98.94
react,complex,647.4212,29.1887,623.525,688.6821,632.7711,584.642,28.696,2.8489,0.4654,6.4807,0.2922,99.9004,0.0892,4.51,99.52
react,medium,811.0812,8.747,801.9805,823.2363,809.2489,772.4535,8.4299,2.0215,0.2603,13.7307,0.149,59.0707,0.0395,1.08,99.74
react,simple,133.6857,2.1566,131.299,136.6214,133.3849,121.4814,2.1495,1.2386,0.0608,7.3138,0.1175,18.2784,0.0204,1.61,98.99
svelte,complex,810.4998,34.1148,789.9807,871.0728,797.185,746.1197,33.1771,2.6748,0.4181,8.2047,0.2939,98.7707,1.0073,4.21,99.64
svelte,medium,431.6999,9.5483,417.6037,442.4267,431.7032,393.7273,9.4181,1.9762,0.2015,7.3114,0.1595,59.0447,0.0691,2.21,99.5
svelte,simple,125.7421,4.5421,120.7466,132.7261,126.0768,113.4528,4.4965,1.3221,0.1165,6.8769,0.2513,18.2848,0.0335,3.61,98.85
vue,complex,1137.6177,9.6137,1122.9632,1148.9959,1137.6388,1071.4649,9.4586,3.2024,0.2312,11.4354,0.1381,99.4876,0.8416,0.85,99.7
vue,medium,463.4032,13.8408,451.3002,486.6726,461.3434,424.9529,13.6001,2.1908,0.2047,7.8462,0.2456,59.0627,0.1256,2.99,99.49
vue,simple,80.5917,3.3019,75.3433,84.2536,81.2021,68.5653,3.1566,0.9325,0.1309,4.4029,0.1766,18.3039,0.0201,4.1,98.66
